wall_t,esp_ts,stepper_position,dummy_raw,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,offset_0,offset_1,offset_2,offset_3,offset_4,offset_5,offset_6,offset_7,offset_8,saturated_0,saturated_1,saturated_2,saturated_3,saturated_4,saturated_5,saturated_6,saturated_7,saturated_8
1781551799.3285413,2354723,0,2087,-2276,-6874,3122728,4919396,2876873,-13228,-2164866,2584,1217069,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551799.3285413,2354823,0,2116,-2929,-5825,3123113,4919008,2876887,-9919,-2164952,2580,1217087,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551799.430742,2354923,0,2101,-3622,-5654,3122452,4918579,2876326,-10569,-2164756,2457,1216979,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551799.4996643,2355023,0,2099,-2425,-6904,3122244,4919472,2876454,-13102,-2164829,2637,1217259,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551799.643632,2355123,0,1902,-2977,-5840,3122854,4919121,2876575,-9338,-2164671,2631,1217041,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551799.7041507,2355223,0,1912,-2553,-6280,3122585,4918983,2876552,-10566,-2164673,2600,1217032,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551799.8425925,2355323,0,2060,-3381,-5833,3121979,4918566,2876449,-11497,-2164226,2535,1216800,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551799.9070632,2355423,0,2067,-2850,-6074,3122781,4918851,2876334,-9704,-2164425,2531,1217085,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551800.0457816,2355523,0,1914,-2935,-6079,3122052,4918332,2876206,-10250,-2164270,2449,1216924,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551800.1466014,2355623,0,1922,-2603,-6153,3122612,4918945,2876506,-10871,-2164421,2477,1216962,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551800.2054856,2355723,0,1914,-3176,-6535,3121964,4918194,2876017,-16692,-2164248,2661,1217100,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551800.3563426,2355823,0,1836,-2122,-7396,3122197,4918598,2876202,-18746,-2164337,2576,1217129,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551800.4084423,2355923,0,1859,-2182,-7111,3122732,4918829,2876281,-17275,-2164557,2583,1217259,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551800.5962543,2356023,0,1933,-3076,-6677,3122056,4918278,2875854,-15825,-2164429,2531,1216966,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551800.7602677,2356123,0,1912,-2266,-6503,3122044,4918554,2876141,-9613,-2164324,2385,1217264,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551800.7617812,2356223,0,1836,-3402,-5628,3122131,4918306,2875804,-8743,-2164393,2499,1217129,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551800.8096983,2356323,0,1827,-2841,-5984,3121735,4918669,2875773,-8990,-2164052,2392,1217204,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551800.8983114,2356423,0,1905,-3911,-4635,3121519,4918037,2875423,-5518,-2163820,2314,1216996,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551800.993731,2356523,0,2086,-3155,-5806,3121279,4919248,2875554,-6757,-2164230,2513,1217224,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551801.0995345,2356623,0,2102,-2310,-6027,3122769,4919476,2876159,-10904,-2164247,2740,1217784,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551801.1950788,2356723,0,2109,-2607,-5851,3123179,4919176,2876226,-11009,-2164260,2736,1217857,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551801.300043,2356823,0,2099,-2574,-6132,3123170,4919106,2876268,-11698,-2164249,2703,1217851,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551801.3938408,2356923,0,2105,-2662,-5803,3123194,4919133,2876402,-11041,-2164188,2702,1217893,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551801.4994395,2357023,0,2128,-2804,-5830,3123195,4918960,2876442,-10622,-2164291,2751,1217884,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
