wall_t,esp_ts,stepper_position,dummy_raw,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,offset_0,offset_1,offset_2,offset_3,offset_4,offset_5,offset_6,offset_7,offset_8,saturated_0,saturated_1,saturated_2,saturated_3,saturated_4,saturated_5,saturated_6,saturated_7,saturated_8
1781385317.0448842,497317,0,1837,-10623,-10290,2860303,5805022,2380371,1241,-4476646,1227,1257311,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385317.0990982,497417,0,1815,-10627,-10426,2859607,5808369,2381408,1236,-4475618,1219,1257019,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385317.2494364,497517,0,1838,-10600,-10400,2859449,5806827,2381610,1238,-4473655,1221,1257176,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385317.358844,497617,0,1818,-10719,-10026,2860033,5804941,2379572,1229,-4470293,1255,1257284,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385317.455536,497717,0,1776,-10819,-10105,2860211,5805185,2378879,1235,-4470562,1279,1257324,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385317.5546992,497817,0,1807,-10741,-10183,2859786,5807428,2380438,1236,-4473234,1247,1256994,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385317.6513903,497917,0,1820,-10652,-10239,2859537,5808120,2381842,1213,-4475717,1304,1256984,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385317.709527,498017,0,1811,-10677,-10356,2859756,5806693,2381313,1213,-4476617,1260,1257065,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385317.7642798,498117,0,1798,-10659,-10460,2860770,5805328,2379709,1232,-4476269,1194,1257254,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385317.8653274,498217,0,1792,-10675,-10494,2860227,5805746,2379636,1232,-4475550,1244,1257167,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385317.969308,498317,0,1809,-10839,-10322,2859513,5807075,2381678,1234,-4474819,1177,1257025,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385318.0681217,498417,0,1822,-10742,-10219,2859583,5807891,2381632,1244,-4474719,1209,1256884,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385318.1676621,498517,0,1820,-10641,-10301,2860469,5807479,2380998,1253,-4474930,1222,1257065,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385318.260397,498617,0,1798,-10654,-10177,2861269,5805839,2378975,1250,-4476681,1280,1257376,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385318.3723476,498717,0,1811,-10732,-10240,2861157,5804675,2379868,1257,-4477914,1345,1257212,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385318.4793653,498817,0,1824,-10722,-10288,2860195,5806624,2381931,1251,-4478213,1284,1256866,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385318.5567214,498917,0,1829,-10652,-10415,2859290,5809244,2383867,1261,-4477402,1218,1256722,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385318.6729984,499017,0,1821,-10680,-10386,2860007,5804878,2380922,1258,-4477429,1206,1257183,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385318.7881362,499117,0,1825,-10672,-10286,2861596,5803617,2378028,1261,-4479752,1257,1257552,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385318.8571274,499217,0,1826,-10612,-10349,2861517,5806730,2379485,1250,-4481108,1331,1257188,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385318.9901237,499317,0,1831,-10645,-10318,2860027,5810015,2382727,1239,-4482115,1298,1256732,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385319.0879736,499417,0,1832,-10634,-10235,2859979,5809101,2383492,1233,-4485141,1214,1256571,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385319.154618,499517,0,1830,-10656,-10314,2861142,5805039,2380350,1252,-4485771,1255,1257389,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385319.2974107,499617,0,1826,-10683,-10324,2860935,5803632,2377676,1279,-4483858,1290,1257206,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385319.406159,499717,0,1827,-10667,-10336,2859739,5807132,2378997,1256,-4484077,1301,1256734,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385319.505215,499817,0,1835,-10597,-10381,2859111,5810230,2382617,1240,-4485755,1267,1256440,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385319.5999577,499917,0,1826,-10774,-10299,2859990,5808273,2379573,1237,-4488171,1237,1257017,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385319.6610458,500017,0,1804,-10965,-10058,2861168,5804517,2377450,1229,-4489819,1318,1257342,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385319.7584965,500117,0,1788,-10880,-10274,2860818,5804342,2380146,1229,-4491013,1307,1257200,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385319.8636432,500217,0,1808,-10662,-10179,2859570,5807962,2382733,1243,-4491437,1218,1256715,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385319.9568958,500317,0,1802,-10627,-10219,2859291,5808137,2382486,1231,-4492365,1196,1256571,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385320.1025846,500417,0,1817,-10702,-10173,2860425,5804626,2378927,1232,-4493200,1262,1257011,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385320.217312,500517,0,1822,-10715,-10202,2861464,5804839,2377743,1224,-4493310,1374,1257246,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385320.3165066,500617,0,1794,-10632,-10396,2860986,5808431,2380194,1225,-4493394,1346,1256759,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385320.4275608,500717,0,1806,-10669,-10506,2859313,5810214,2382999,1229,-4493225,1304,1256665,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385320.482861,500817,0,1823,-10718,-10416,2860518,5807656,2381863,1230,-4492421,1257,1256982,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385320.6398675,500917,0,1827,-10664,-10388,2861284,5804485,2378383,1252,-4490409,1202,1257385,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385320.7381663,501017,0,1816,-10616,-10298,2860512,5805416,2377821,1244,-4489809,1206,1257185,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385320.787678,501117,0,1820,-10512,-10383,2859095,5808869,2380375,1235,-4489189,1238,1256742,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385320.933991,501217,0,1827,-10672,-10459,2859199,5810118,2382938,1257,-4489594,1268,1256600,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385321.0375135,501317,0,1829,-10742,-10345,2860631,5807361,2378104,1265,-4489850,1246,1256951,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385321.1375535,501417,0,1823,-10754,-10372,2861387,5804428,2377700,1248,-4489320,1175,1257330,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385321.2340858,501517,0,1828,-10776,-10314,2860584,5805423,2380703,1264,-4488678,1163,1256734,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385321.3489587,501617,0,1819,-10662,-10139,2859043,5808988,2382652,1254,-4488580,1236,1256544,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385321.446325,501717,0,1841,-10652,-10393,2858854,5809963,2380913,1240,-4488906,1366,1256981,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385321.5584536,501817,0,1840,-10723,-10341,2860219,5804431,2377832,1246,-4489444,1315,1257437,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385321.6552458,501917,0,1825,-10672,-10192,2861084,5805579,2377692,1252,-4489216,1219,1257434,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385321.7107658,502017,0,1811,-10761,-10274,2859466,5809017,2380485,1250,-4489647,1291,1256897,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385321.7673988,502117,0,1804,-10762,-10410,2859454,5809712,2382386,1249,-4490450,1294,1256683,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385321.9552217,502217,0,1806,-10618,-10450,2860485,5806607,2380120,1246,-4491241,1315,1256895,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385322.0654178,502317,0,1812,-10672,-10377,2861001,5804232,2377404,1240,-4489929,1232,1257261,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385322.066164,502417,0,1821,-10696,-10406,2860310,5806127,2377824,1228,-4489424,1232,1257093,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385322.1617928,502517,0,1813,-10644,-9939,2859115,5809177,2380806,1221,-4490571,1241,1256408,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385322.262555,502617,0,1804,-10839,-10167,2859156,5809260,2381678,1235,-4491709,1185,1256571,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
