wall_t,esp_ts,stepper_position,dummy_raw,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,offset_0,offset_1,offset_2,offset_3,offset_4,offset_5,offset_6,offset_7,offset_8,saturated_0,saturated_1,saturated_2,saturated_3,saturated_4,saturated_5,saturated_6,saturated_7,saturated_8
1781385023.667148,204017,0,1796,-10873,-10331,2472828,6541174,2960049,1248,-2344581,1158,1218587,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385023.7673025,204117,0,1800,-10824,-10341,2472874,6541289,2960023,1237,-2344511,1222,1218629,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385023.855911,204217,0,1808,-10883,-10312,2472984,6541094,2960077,1237,-2344599,1175,1218655,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385023.9674957,204317,0,1805,-10814,-10268,2472993,6541072,2960042,1231,-2344635,1189,1218634,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385024.085386,204417,0,1798,-10728,-10432,2472985,6541041,2960048,1238,-2344712,1182,1218659,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385024.2647629,204517,0,1805,-10801,-10364,2472963,6541027,2959942,1254,-2344800,1074,1218689,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385024.2647629,204617,0,1825,-10850,-10392,2472925,6540989,2959949,1231,-2344694,1108,1218695,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385024.3496947,204717,0,1816,-10796,-10421,2472843,6540908,2959984,1232,-2344802,1189,1218666,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385024.482659,204817,0,1818,-10742,-10156,2472871,6540955,2959924,1229,-2344869,1198,1218718,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385024.573597,204917,0,1778,-10847,-10272,2472871,6540940,2959989,1239,-2344882,1124,1218743,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385024.6533494,205017,0,1776,-10890,-10261,2472880,6540814,2959982,1247,-2344824,1132,1218671,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385024.7517605,205117,0,1816,-10775,-10205,2472920,6540861,2959892,1256,-2344847,1155,1218653,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385024.849439,205217,0,1812,-10870,-10283,2472894,6540859,2959886,1247,-2344935,1160,1218720,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385025.0026073,205317,0,1809,-10993,-10176,2472938,6540900,2959965,1245,-2344891,1154,1218683,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385025.1047282,205417,0,1812,-10934,-10161,2473028,6540825,2959963,1240,-2344766,1181,1218695,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385025.1557662,205517,0,1795,-10820,-10311,2472966,6540835,2959965,1254,-2344860,1199,1218659,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385025.2567215,205617,0,1821,-10656,-10257,2472891,6540880,2960029,1255,-2345065,1209,1218658,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781385025.3670812,205717,0,1816,-10747,-10179,2472905,6540953,2959969,1245,-2344997,1280,1218667,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
