wall_t,esp_ts,stepper_position,dummy_raw,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,offset_0,offset_1,offset_2,offset_3,offset_4,offset_5,offset_6,offset_7,offset_8,saturated_0,saturated_1,saturated_2,saturated_3,saturated_4,saturated_5,saturated_6,saturated_7,saturated_8
1781552015.1679082,2570688,0,2130,-3036,-3785,3857054,4663903,2237149,-5817,-4513405,2534,1312284,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781552015.273227,2570788,0,2106,-3345,-4776,3857072,4665549,2241965,-8039,-4509377,2662,1311852,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781552015.345302,2570888,0,2055,-3180,-5158,3855840,4662986,2243262,-12261,-4473537,2638,1311457,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781552015.4738853,2570988,0,1980,-2297,-6771,3854388,4655536,2239950,-17395,-4433336,2487,1312032,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781552015.5415628,2571088,0,2041,-2589,-7258,3853429,4647149,2236042,-14813,-4418236,2601,1312952,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781552015.6810653,2571188,0,2043,-3204,-5918,3852526,4644089,2236690,-12964,-4405637,2498,1312402,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781552015.786923,2571288,0,2089,-2473,-5132,3850846,4648050,2240291,-10677,-4402540,2618,1312162,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781552015.8427653,2571388,0,2085,-3922,-4888,3848924,4663987,2241406,-7389,-4398257,2567,1311684,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781552015.9861124,2571488,0,2067,-3114,-4976,3848334,4665964,2239555,-6473,-4389176,2538,1312288,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781552016.04166,2571588,0,2081,-3116,-5250,3846416,4662525,2234700,-6290,-4388673,2606,1313134,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781552016.1915126,2571688,0,2059,-3628,-5516,3842782,4660778,2231212,-9279,-4369418,2444,1313232,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
