wall_t,esp_ts,stepper_position,dummy_raw,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,offset_0,offset_1,offset_2,offset_3,offset_4,offset_5,offset_6,offset_7,offset_8,saturated_0,saturated_1,saturated_2,saturated_3,saturated_4,saturated_5,saturated_6,saturated_7,saturated_8
1781551990.8194933,2546288,0,2062,-3638,-6392,4117092,4504559,2331201,-11103,-4935787,2461,1298817,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551990.900384,2546388,0,2073,-1918,-7058,4118427,4506814,2332585,-15640,-4932269,2406,1299014,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551991.1049402,2546488,0,2071,-2345,-5947,4119456,4508205,2333223,-12512,-4929604,2652,1299263,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551991.1049402,2546588,0,2088,-3058,-5401,4119504,4508239,2333024,-11164,-4925879,2696,1299345,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551991.2116225,2546688,0,2090,-3393,-5144,4118930,4508250,2331969,-8281,-4922049,2587,1299376,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551991.3153965,2546788,0,2087,-3172,-5500,4118807,4509437,2331107,-7411,-4919729,2577,1299703,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551991.368695,2546888,0,2074,-3294,-5731,4118099,4510671,2331864,-11055,-4917929,2630,1299596,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551991.5191905,2546988,0,2031,-2889,-5633,4116080,4510581,2331183,-13433,-4916152,2645,1299697,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551991.5695608,2547088,0,1923,-2848,-6602,4114482,4511387,2331288,-13839,-4913844,2572,1299734,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551991.642003,2547188,0,2003,-3404,-6237,4113343,4510937,2330541,-16288,-4909378,2473,1299618,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551991.7443628,2547288,0,2085,-2048,-7207,4111973,4510884,2330639,-15140,-4908185,2561,1299938,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551991.8417776,2547388,0,2134,-2661,-6710,4112877,4513826,2331915,-10087,-4906605,2733,1300157,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551991.9442673,2547488,0,2114,-2958,-4914,4112315,4513776,2332349,-8359,-4906193,2692,1300121,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
